epoch,sample_set,precision,recall,f1
1.0,validation,0.5725190839694656,0.5703422053231939,0.5714285714285714
1.0,test,0.5735461801596351,0.5761741122565864,0.5748571428571427
2.0,validation,0.5265017667844523,0.5665399239543726,0.5457875457875457
2.0,test,0.5294759825327511,0.5555555555555556,0.5422023476802683
3.0,validation,0.5018050541516246,0.5285171102661597,0.5148148148148148
3.0,test,0.5305010893246187,0.5578465063001146,0.5438302624232272
4.0,validation,0.5054545454545455,0.5285171102661597,0.516728624535316
4.0,test,0.5260915867944622,0.565864833906071,0.5452538631346578
5.0,validation,0.5302491103202847,0.5665399239543726,0.5477941176470589
5.0,test,0.5377258235919234,0.579610538373425,0.557883131201764
6.0,validation,0.518796992481203,0.5247148288973384,0.5217391304347827
6.0,test,0.5247844827586207,0.5578465063001146,0.5408106607440311
7.0,validation,0.5113636363636364,0.5133079847908745,0.5123339658444023
7.0,test,0.5344262295081967,0.5601374570446735,0.546979865771812
8.0,validation,0.5236363636363637,0.5475285171102662,0.5353159851301116
8.0,test,0.519916142557652,0.56815578465063,0.5429666119321291
9.0,validation,0.5164835164835165,0.5361216730038023,0.5261194029850746
9.0,test,0.5235042735042735,0.561282932416953,0.5417357656163626
10.0,validation,0.5229681978798587,0.5627376425855514,0.5421245421245421
10.0,test,0.5158648925281474,0.5773195876288659,0.5448648648648649
11.0,validation,0.5231316725978647,0.55893536121673,0.5404411764705882
11.0,test,0.516028955532575,0.5715922107674685,0.5423913043478261
12.0,validation,0.509090909090909,0.532319391634981,0.5204460966542751
12.0,test,0.5232067510548524,0.56815578465063,0.5447556287753982
13.0,validation,0.5087108013937283,0.5551330798479087,0.530909090909091
13.0,test,0.5075075075075075,0.5807560137457045,0.5416666666666666
14.0,validation,0.5110294117647058,0.5285171102661597,0.5196261682242991
14.0,test,0.5171673819742489,0.5521191294387171,0.5340720221606647
15.0,validation,0.5035211267605634,0.5437262357414449,0.5228519195612432
15.0,test,0.5181347150259067,0.572737686139748,0.5440696409140371
16.0,validation,0.5234657039711191,0.5513307984790875,0.5370370370370371
16.0,test,0.5202492211838006,0.5738831615120275,0.545751633986928
17.0,validation,0.5107142857142857,0.5437262357414449,0.5267034990791896
17.0,test,0.5169230769230769,0.5773195876288659,0.5454545454545455
18.0,validation,0.5105633802816901,0.5513307984790875,0.5301645338208409
18.0,test,0.51010101010101,0.5784650630011455,0.5421363392377885
19.0,validation,0.5105633802816901,0.5513307984790875,0.5301645338208409
19.0,test,0.5116514690982776,0.5784650630011455,0.543010752688172
20.0,validation,0.5105633802816901,0.5513307984790875,0.5301645338208409
20.0,test,0.5116514690982776,0.5784650630011455,0.543010752688172
