epoch,sample_set,precision,recall,f1
1.0,validation,0.6530612244897959,0.6083650190114068,0.6299212598425197
1.0,test,0.6415552855407047,0.6048109965635738,0.6226415094339621
2.0,validation,0.7519083969465649,0.7490494296577946,0.7504761904761905
2.0,test,0.6977777777777778,0.7193585337915235,0.7084038353073886
3.0,validation,0.8117647058823529,0.7870722433460076,0.7992277992277993
3.0,test,0.7758215962441315,0.7571592210767468,0.7663768115942029
4.0,validation,0.828125,0.8060836501901141,0.8169556840077071
4.0,test,0.7695852534562212,0.7651775486827033,0.7673750717978174
5.0,validation,0.7689393939393939,0.7718631178707225,0.7703984819734345
5.0,test,0.7845804988662132,0.7926689576174112,0.7886039886039886
6.0,validation,0.8015564202334631,0.7832699619771863,0.7923076923076924
6.0,test,0.7821100917431193,0.7812142038946163,0.7816618911174786
7.0,validation,0.7814814814814814,0.8022813688212928,0.7917448405253283
7.0,test,0.7739420935412027,0.7961053837342497,0.784867306606437
8.0,validation,0.8108108108108109,0.7984790874524715,0.8045977011494254
8.0,test,0.7969483568075117,0.7777777777777778,0.7872463768115942
9.0,validation,0.8084291187739464,0.8022813688212928,0.8053435114503817
9.0,test,0.8011627906976744,0.7892325315005727,0.7951529140219272
10.0,validation,0.7912087912087912,0.8212927756653993,0.8059701492537313
10.0,test,0.7847533632286996,0.8018327605956472,0.7932011331444759
11.0,validation,0.8181818181818182,0.8212927756653993,0.8197343453510437
11.0,test,0.8108419838523645,0.8052691867124857,0.8080459770114942
12.0,validation,0.8208955223880597,0.8365019011406845,0.8286252354048965
12.0,test,0.8179723502304147,0.8132875143184422,0.8156232050545663
13.0,validation,0.8134328358208955,0.8288973384030418,0.8210922787193974
13.0,test,0.8158803222094362,0.8121420389461627,0.8140068886337543
14.0,validation,0.8,0.8212927756653993,0.8105065666041276
14.0,test,0.801377726750861,0.7995418098510882,0.8004587155963303
15.0,validation,0.8202247191011236,0.8326996197718631,0.8264150943396227
15.0,test,0.8138728323699422,0.8064146620847652,0.8101265822784811
16.0,validation,0.8171641791044776,0.8326996197718631,0.8248587570621468
16.0,test,0.8120728929384966,0.8167239404352806,0.8143917761279268
17.0,validation,0.8171641791044776,0.8326996197718631,0.8248587570621468
17.0,test,0.8191244239631337,0.8144329896907216,0.8167719701321079
18.0,validation,0.8164794007490637,0.8288973384030418,0.8226415094339622
18.0,test,0.8191244239631337,0.8144329896907216,0.8167719701321079
19.0,validation,0.8127340823970037,0.8250950570342205,0.8188679245283018
19.0,test,0.8179723502304147,0.8132875143184422,0.8156232050545663
20.0,validation,0.8127340823970037,0.8250950570342205,0.8188679245283018
20.0,test,0.8189158016147635,0.8132875143184422,0.8160919540229885
