epoch,sample_set,precision,recall,f1
1.0,validation,0.7429378531073446,0.7429378531073446,0.7429378531073445
1.0,test,0.8142857142857143,0.8142857142857143,0.8142857142857143
2.0,validation,0.7909604519774012,0.7909604519774012,0.7909604519774012
2.0,test,0.8446428571428571,0.8446428571428571,0.8446428571428571
3.0,validation,0.8050847457627118,0.8050847457627118,0.8050847457627118
3.0,test,0.8517857142857143,0.8517857142857143,0.8517857142857143
4.0,validation,0.8022598870056498,0.8022598870056498,0.8022598870056498
4.0,test,0.8455357142857143,0.8455357142857143,0.8455357142857143
5.0,validation,0.8050847457627118,0.8050847457627118,0.8050847457627118
5.0,test,0.8446428571428571,0.8446428571428571,0.8446428571428571
6.0,validation,0.807909604519774,0.807909604519774,0.8079096045197741
6.0,test,0.8580357142857142,0.8580357142857142,0.8580357142857142
7.0,validation,0.8192090395480226,0.8192090395480226,0.8192090395480226
7.0,test,0.8410714285714286,0.8410714285714286,0.8410714285714287
8.0,validation,0.8050847457627118,0.8050847457627118,0.8050847457627118
8.0,test,0.8633928571428572,0.8633928571428572,0.8633928571428572
9.0,validation,0.8135593220338984,0.8135593220338984,0.8135593220338985
9.0,test,0.8705357142857143,0.8705357142857143,0.8705357142857143
10.0,validation,0.7966101694915254,0.7966101694915254,0.7966101694915254
10.0,test,0.8616071428571429,0.8616071428571429,0.8616071428571429
11.0,validation,0.7909604519774012,0.7909604519774012,0.7909604519774012
11.0,test,0.8651785714285715,0.8651785714285715,0.8651785714285715
12.0,validation,0.7966101694915254,0.7966101694915254,0.7966101694915254
12.0,test,0.8607142857142858,0.8607142857142858,0.8607142857142858
13.0,validation,0.8022598870056498,0.8022598870056498,0.8022598870056498
13.0,test,0.8607142857142858,0.8607142857142858,0.8607142857142858
14.0,validation,0.8163841807909604,0.8163841807909604,0.8163841807909603
14.0,test,0.8651785714285715,0.8651785714285715,0.8651785714285715
15.0,validation,0.8107344632768362,0.8107344632768362,0.8107344632768362
15.0,test,0.8625,0.8625,0.8625
16.0,validation,0.8135593220338984,0.8135593220338984,0.8135593220338985
16.0,test,0.8633928571428572,0.8633928571428572,0.8633928571428572
17.0,validation,0.8135593220338984,0.8135593220338984,0.8135593220338985
17.0,test,0.8696428571428572,0.8696428571428572,0.8696428571428572
18.0,validation,0.807909604519774,0.807909604519774,0.8079096045197741
18.0,test,0.8642857142857143,0.8642857142857143,0.8642857142857143
19.0,validation,0.8135593220338984,0.8135593220338984,0.8135593220338985
19.0,test,0.8651785714285715,0.8651785714285715,0.8651785714285715
20.0,validation,0.8107344632768362,0.8107344632768362,0.8107344632768362
20.0,test,0.8642857142857143,0.8642857142857143,0.8642857142857143
